title,sentence,date
Ripple-Based Remittance Firm SendFriend Claims to Save Up to 80% in Fees,Blockchain-based money transfer startup SendFriend utilizes Ripple’s technology to save up to 80% in remittance fees.,2019-12-14
"Price Analysis Dec 13: BTC, Cryptos Prepare for Possible ‘Santa Rally’","Data shows that whales and institutional investors accumulated Bitcoin throughout its 2-year long bearish phase, should retail investors follow?",2019-12-14
Crypto Payment Gateway Offers Low Withdrawal Fees,A crypto payment gateway says it makes accepting digital currencies on websites easy with low cost.,2019-12-13
Price Analysis 11/12: BTC and These 9 Cryptos Set to Resume Downtrend,Several altcoins are on the verge of resuming their downtrend. What are the critical levels to watch out for going into mid-December?,2019-12-12
"Price Analysis 09/12: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, XTZ","After a lengthy period of consolidation, many cryptocurrencies appear to be setting up for a large move within the next few days.",2019-12-10
"Ethereum Price Stable Despite Hard Fork, Altcoins See Small Gains",Most of the top 20 cryptocurrencies are reporting moderate gains as Ethereum price seems unaffected by the hard fork.,2019-12-08
"Bitcoin Hovers Under $7,550 as Altcoins See Moderate Gains","Most of the top 20 cryptocurrencies are reporting moderate gains on the day, as Bitcoin hovers around the $7,550 mark again.",2019-12-07
"Price Analysis 06/12: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, ADA",A rally could be on the cards as Bitcoin continues to lead the market and a few altcoins attempt to form a higher low.,2019-12-07
Japanese Financial Giant SBI Holdings Considers Paying Dividends in XRP,"SBI Holdings is considering the option of paying shareholder dividends in XRP, months after its subsidiary MorningStar began the practice.",2019-12-06
Ripple Files Final Motion to Dismiss Class-Action Securities Lawsuit,Ripple has filed a motion to dismiss a class-action lawsuit alleging that it held an unregistered securities offering of XRP tokens.,2019-12-06
"Price Analysis 04/12: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Bitcoin price is leading from the front and is showing signs that a bottom has been reached.,2019-12-05
Ripple Transfers 1 Billion XRP Tokens From Escrow Wallet and Back Again,"Ripple transfers a total of 1 billion XRP tokens from its escrow wallet to Ripple today, only to transfer it back minutes later.",2019-12-03
"Price Analysis 02/12: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Bitcoin appears to have bottomed at $6,500 and once confirmed many cryptocurrencies could provide lucrative trading opportunities at a good risk-reward ratio.",2019-12-03
Binance Crypto Exchange Adds Four Trading Pairs for Russian Ruble,Major crypto exchange Binance has added four trading pairs for the Russian ruble after launching trading support in October.,2019-12-02
"Criminal Activity in Crypto: The Fact, the Fiction and the Context",An estimated 0.2% of all XRP transactions are used for illicit activity. How true is this figure and how does it impact the industry?,2019-11-30
"Price Analysis 29/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Bitcoin price has rallied 20% since dropping to $6,560, leading traders to closely watch altcoins for similar price action.",2019-11-30
"Price Analysis 27/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Was the current pullback an opportunity to go long or will the relief rally reverse direction and catch many aggressive bulls off guard?,2019-11-28
Updated: Ripple-Backed Omni Rentals to Shut Down by Late 2019,"Omni Rentals, a $35 million-funded storage and rental startup backed by major crypto firm Ripple, is reportedly shutting down its operations.",2019-11-27
Ripple Completes Promised $50M Investment in MoneyGram With Final $20M,"Cryptocurrency firm Ripple invests additional $20 million in MoneyGram, completing its original commitment of $50 million.",2019-11-26
"Price Analysis 25/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",The bears have been unable to capitalize on the breakdown of critical support levels and this suggests that the current dip could be a bear trap.,2019-11-26
"Price Analysis 22/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Several top cryptocurrencies have broken below their critical support levels, suggesting that this could be the start of a deeper correction.",2019-11-23
"Price Analysis 20/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Bitcoin price is close to critical support levels, but we anticipate a bounce off the support levels as we take a look at the charts.",2019-11-21
Altcoin Market Capitalization Shrinks Despite Volume Boost Since 2017,"Despite crypto markets reclaiming the capitalization boasted in Nov. 2017 and record volumes, altcoins have seen a declining market share.",2019-11-20
Cryptocurrency Forensics Firm Elliptic Ties $400M in XRP to Illicit Activities,London-based cryptocurrency forensics firm Elliptic claims that $400 million worth of XRP tokens is tied to illicit activities.,2019-11-20
"Price Analysis 18/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","While Bitcoin looks weak, select altcoins are showing resilience and this can shift the focus from Bitcoin to altcoins.",2019-11-19
"Price Analysis 15/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Bitcoin price looks weak but this fall below $8,500 might turn out to be a buying opportunity.",2019-11-16
"Binance Adds Support for Turkish Lira and Bitcoin, XRP, Ether Trading Pairs","Binance added support for trading Bitcoin, Ether, XRP with Turkish lira via local digital wallet Papara.",2019-11-15
"Price Analysis 13/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","While Bitcoin price action remains lackluster, altcoins are attempting to make a strong upside move.",2019-11-14
"Price Analysis 11/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Bitcoin is at a critical level. Will it bounce off the current level or plummet below it? Let’s analyze the charts.,2019-11-12
"Bitcoin Price Hovers Under $8,800 as Top Altcoins See Minor Gains","Most of the top 20 cryptocurrencies are reporting minor gains as Bitcoin hovers under the $8,800 mark.",2019-11-09
10% of MoneyGram’s US-Mexico Business Is Crypto-Enabled,We asked for more context on the soundbyte statistic.,2019-11-09
"Price Analysis 08/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Several cryptocurrencies have turned down sharply from their overhead resistance levels. This is a sign of weakness.,2019-11-09
"Bitcoin Falls Below $9,000 as Price Teases Trading Corridor Breakdown","After more than a week of ranging in a $500 zone, BTC/USD saw an attempt at a break, now falls below $9K.",2019-11-08
Swell the News? XRP Drops 5% as Ripple’s Flagship Event Kicks Off,The controversial third-largest cryptocurrency XRP decisively rejected by resistance at $0.30 to continue trading near all-time lows.,2019-11-07
Ripple CEO: Only 1% of Today’s Cryptocurrencies Will Survive,Ripple CEO Brad Garlinghouse predicts that 99% of all crypto will likely go to zero as they are not focused on real problems.,2019-11-06
Ripple’s Xpring Invests in New Smart Contract Platform,"Xpring, Ripple’s investment arm and tech incubator, has made an investment into smart contract platform Flare Networks.",2019-11-06
Global Blockchain B2B Volume Expected to Hit $4.4 Trillion by 2024,"Business-to-business cross-border payments carried out on a blockchain will exceed $4.4 trillion by 2024, after reaching $171 billion this year, says Juniper Research.",2019-11-05
Crypto News From Japan: Oct. 27–Nov. 2,From Cointelegraph Japan: This week’s selected cryptocurrency and blockchain news from Japan.,2019-11-03
"Bitcoin Price Breaks $9,300 as Alts See Moderate Gains","Most of the top 20 cryptocurrencies are reporting moderate gains on the day, as Bitcoin breaks the $9,300 mark again.",2019-11-02
"Price Analysis 01/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",The crypto market has pulled back but traders might view the current dip as a buying opportunity as long as critical support levels are not violated.,2019-11-02
SBI’s Crypto-Focused Venture Capital Arm Sees Major Turnaround On Year,"SBI Securities’ trading revenue surged 19% in 2019 due to the inclusion of SBI VC Trade crypto affiliate in July, SBI Holdings says.",2019-11-01
"Price Analysis 30/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, TRX, XLM",Many cryptocurrencies are in a pullback which may be viewed as a buying opportunity. What are the critical levels to watch out for?,2019-10-31
"Some Top-20 Coins Still Making Gains, Others Trade Sideways","Cryptocurrency markets are experiencing mixed signals today, with major coins reporting minor gains and losses.",2019-10-30
"Price Analysis 28/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, TRX, XLM","After last week’s volatility, traders could be anticipating that the crypto market will consolidate the gains before starting next move up.",2019-10-29
Game of Nodes — Who Will Win the Digital Throne?,"With over a decade of blockchain, the scene has become a fierce battle of protocols in this game of nodes. Who deserves the digital throne?",2019-10-27
"Price Analysis 25/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Bitcoin managed a sharp turnaround just a day after 10% price dump. Does this increase the possibility of a bottom formation?,2019-10-26
"Altcoins React on BTC’s Sudden Surge, Some Major Coins Post Double-Digit Gains","Following Bitcoin’s sudden jump earlier in the day, altcoin markets have also entered the green zone, with some of the major cryptocurrency markets registering solid growth.",2019-10-26
"Crypto Markets Show Slight Growth, BTC Continues Sitting in Red","Crypto markets made a mild comeback today, although Bitcoin maintains its bearish trend after yesterday’s major losses.",2019-10-25
Thailand Pushes Permissive Regulations as First Legal ICO Is Launched,The country that tried to ban Bitcoin in 2013 is now home to some of the world’s most permissive ICO regulations.,2019-10-24
"Price Analysis 23/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",The crypto space is deep in the red. Is this a bear trap or the start of a new downtrend? Let’s analyze the charts.,2019-10-24
"Ripple Adds Four Members to Regulatory Team, Joins Blockchain Association",San Francisco-based blockchain startup Ripple has announced four new appointments to its global regulatory team.,2019-10-23
"Top-20 Coins Trade Sideways, Bitcoin Trades Around $8,200","After turning green earlier in the day, cryptocurrency markets have been trading sideways, with Bitcoin continuing trading around $8,200.",2019-10-22
"Price Analysis 21/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Several major cryptocurrencies are showing signs of a possible trend reversal. If the bounce sustains, many could become optimal buying opportunities.",2019-10-22
Ripple’s XRP Sales Down 73% in Q3 Compared to Previous Quarter,Blockchain payments network Ripple announces that it sold $66.24 million worth of XRP in Q3 2019 — down a staggering 73.66% compared to the previous quarter.,2019-10-19
"Price Analysis 18/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, LEO",Bitcoin is at a critical crossroad. What are the different possibilities and important levels to watch out for? Let’s analyze the charts.,2019-10-19
"Price Analysis 16/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Many major cryptocurrencies were rejected at their overhead resistances which shows weakness within the market. Is a bear market developing?,2019-10-17
Xpring Invests in Swedish Startup to Build XRP Hardware Wallet Firmware,Ripple’s investment arm and tech incubator Xpring has invested in Swedish crypto self-custody startup Towo Labs to build hardware wallet firmware supporting XRP.,2019-10-17
Ripple Partners With World’s Third-Largest Fintech Firm Finastra,London-based Finastra has partnered with Ripple to grant its customers access to the RippleNet blockchain network.,2019-10-16
"Price Analysis 14/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX","Most major cryptocurrencies are in a consolidation, which will soon result in a large directional move. How should traders be placed in order to benefit from it?",2019-10-15
"Ripple, Coinbase Invest in Mexico’s Biggest Crypto Exchange Bitso","Ripple, Coinbase invested an undisclosed amount in the first Mexican crypto exchange to help it expand to Brazil and Argentina.",2019-10-14
"Blockchain Firm Ripple Fuses xRapid, xVia and xCurrent into RippleNet","The xRapid, xVia and xCurrent services offered by blockchain firm Ripple have been fused into features of its RippleNet network.",2019-10-13
"Price Analysis 11/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Does the pullback in Bitcoin price and most major altcoins indicate that lower levels are likely? Let’s study the charts.,2019-10-12
"Top Coins Continue to Decline, Bitcoin Drops to $8,300 Threshold","Major cryptocurrency markets have seen a sharp drop today, with total market capitalization around $224 billion.",2019-10-12
Ripple’s Xpring Invests in Crypto Wallet Provider BRD to Integrate XRP,"Ripple’s investment arm Xpring has invested in cryptocurrency wallet BRD to enable users to hold, purchase, sell and spend XRP tokens through the wallet.",2019-10-12
Ripple CEO: Our Transparency Has Opened Us Up to Attack,Ripple CEO Brad Garlinghouse has argued that his company’s transparency made it vulnerable to a “bunch of misinformation.”,2019-10-11
"Top-20 Coins Experience Downward Trend, BTC Sticks Near $8,600","Crypto markets are mostly in the red, remaining relatively quiet with moderate losses throughout the top-20 coins.",2019-10-11
Ripple Criticized for Alleged Misrepresentation of Relationship to XRP,Ripple Labs comes under renewed criticism for its allegedly misleading representations that it “discovered” — rather than created — the XRP token.,2019-10-11
Bank of America Hints It Has Hired a Dedicated Ripple Specialist,America’s second largest banking institution searches for a “treasury product manager” specifically working with Ripple’s technology.,2019-10-10
"Price Analysis 09/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX",Bitcoin and select altcoins are showing signs of bottoming out. Can they start a new uptrend? Let’s study the charts.,2019-10-10
Finastra Joins RippleNet to Support Cheaper Cross-Border Payments,"Over 200 financial institutions on RippleNet will have access to Finastra’s network of banks, allowing customers to partner with each other.",2019-10-09
"Major Coins See Mix of Red and Green as BTC Price Stays Above $8,000","Bitcoin continues to trade above $8,000, with other top 20 cryptocurrencies reporting mixed signals.",2019-10-08
Ripple CEO: Facebook’s Libra Will Not Launch Before 2023,"Brad Garlinghouse, the CEO of blockchain payments network Ripple, thinks that Facebook will fail to launch its Libra digital currency before 2023.",2019-10-08
"Price Analysis 07/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, ADA","Bitcoin looks to be stabilizing. If that happens, select altcoins might outperform. Let’s study the charts.",2019-10-08
"Crypto Exchange CoinField Launches XRP Validator, Teases New Ecosystem","Cryptocurrency exchange CoinField launches an XRP validator that is already included in Ripple’s Unique Node List, teases a new mysterious project.",2019-10-07
Samsung Pay Teams Up With RippleNet Member Finablr,Samsung Pay teams up with RippleNet member Finablr to offer cross-border payments feature Money Transfer to its app’s users.,2019-10-06
"Price Analysis 04/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, LEO",A few altcoins are looking strong. Is it a good time to buy or is this only a dead cat bounce? Let’s study the charts.,2019-10-05
"Altcoins See Mild Gains While Bitcoin Hovers Around $8,100","Cryptocurrencies have entered the green zone after seeing some losses over the past day, with the Bitcoin price hovering around $8,100.",2019-10-05
Pantera Capital Leads $5M Seed Round of Decentralized Derivatives Startup,Crypto hedge fund Pantera Capital leads a $5 million strategic seed round of decentralized derivatives protocol Vega.,2019-10-03
"Price Analysis 02/10: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, LEO","After a shallow pullback, will major cryptocurrencies extend their decline? Let’s study the charts.",2019-10-03
"Following New Partnership, BitPay Adds Support for XRP",Cryptocurrency payment processor BitPay has entered a partnership with Ripple’s investment arm Xpring to support payments with XRP.,2019-10-03
Ripple-Backed Web Monetization Platform Coil Now Supports XRP,Web monetization platform Coil now supports XRP payments in real time thanks to a partnership with GateHub.,2019-10-02
"Price Analysis 30/09: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, LEO","Most major cryptocurrencies have stopped falling. They can start a pullback, which will offer buying opportunities for aggressive traders.",2019-10-01
Ripple Acquires Crypto Trading Firm to Expand Into Iceland,"Ripple continues its run of acquisitions, announcing an expansion into Iceland with its acqui-hire of crypto trading firm Algrim.",2019-09-30
Is XRP a Security? We May Never Know,A class action lawsuit against Ripple Labs Inc. alleging that XRP is an unregistered security faces another setback.,2019-09-29
"Crypto Markets Turn Green Following Tough Week, BTC Price Above $8,000","Major cryptocurrencies have entered the green zone after seeing severe losses over the past couple of days, with Bitcoin’s price over $8,000.",2019-09-28
"Price Analysis 27/09: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, LEO",Keep a close eye on Bitcoin for the next few days as a strong bounce might offer a good buying opportunity for traders who missed the bus last time.,2019-09-28
Ripple’s Xpring Acquires Payment Platform Logos Network to Pursue DeFi,"Ripple, the San Francisco-based startup behind the XRP token, has acquired payments platform Logos Network to develop decentralized financial products.",2019-09-28
Ripple Exec: Libra’s Major Flaw Is That It’s a ‘Walled Garden’,"The major flaw in Facebook’s planned cryptocurrency, Libra, is that it’s a closed system — akin to a “walled garden” — argues Ripple executive Marcus Treacher.",2019-09-27
"Price Analysis 25/09: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, LEO",Is the current fall the start of a new bear market or is this a bear trap? Let’s analyze the charts.,2019-09-26
"Tuesday Shows Bloodbath for Altcoins, Up to 34% Losses on Top 20 Coins","The entire cryptocurrency market is bleeding heavily, with Bitcoin SV showing losses of more than 34%.",2019-09-25
"Major Coins Trading Sideways, Bitcoin Deepens Under $10,000","Major cryptocurrency markets are reporting mixed signals, with Bitcoin being bearish following the launch of Bakkt’s physically delivered futures.",2019-09-24
"Price Analysis 23/09: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, ADA",Will the launch of Bakkt boost Bitcoin prices? What do the charts project? Let’s analyze the charts.,2019-09-24
"Price Analysis 20/09: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, ADA",Can the altcoins continue their rally after a shallow pullback? Let’s analyze the charts.,2019-09-21
Ripple Avoids XRP Question as It Moves to Dismiss Securities Lawsuit,Controversy is again mounting around the company as it tries to avoid explicit reference to XRP token’s classification.,2019-09-20
"After Dip of $500, Bitcoin Price Back to Trading Sideways at $10,200","After suffering a sudden $500 dip earlier today, Bitcoin is back to trading sideways near the $10,200 price mark.",2019-09-20
"Price Analysis 18/09: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, ADA",Altcoins are on fire. Can this rally continue and is this a good time to buy? Let’s analyze the charts.,2019-09-19
"Altcoins Continue Explosive Bull Run While Bitcoin Stalls at $10,200","Altcoins are continuing their unexpected explosive bull run, while Bitcoin is trading flat at around $10,200.",2019-09-18
"Bitcoin Addresses Worth $100,000 or More Hits All-Time High","The number of Bitcoin wallet addresses holding at least 10 BTC — worth over $100,000 at today’s price — has hit an all-time high.",2019-09-17
"Price Analysis 16/09: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, ADA",The impending launch of Bakkt could likely determine the price of Bitcoin for the next few weeks.,2019-09-17
"XRP Fork Unlikely to Succeed, Ripple Continues to Face Angry Investors","The threat of an XRP fork is looming over Ripple, the San Francisco-based startup behind the third-largest asset on the crypto market...",2019-09-16
"Bitcoin Hovers Over $10,300 as Top Altcoins See Mixed Movements","The top 20 cryptocurrencies are reporting mixed movements on the day as Bitcoin’s price hovers over the $10,300 mark again.",2019-09-14
Major BTC ATM Network Garners $1.5 Million From Xpring and New VC Fund,"Coinme, a global leader in cryptocurrency ATMs, has announced $1.5 million in funding from Ripple’s Xpring and the Blockchain Finance Fund.",2019-09-14
Friday the 13th: Crypto Markets Red as Bitcoin Price Slips Below $10.3K,"Crypto markets have continued to report broadly negative signals, with Bitcoin failing to hold $10,300 support on the day.",2019-09-14
Ripple CEO to CNN: ‘We Are the Most Interested Party’ in XRP’s Success,"Ripple CEO Brad Garlinghouse deflects accusations of XRP price manipulation, saying ‘we are the most interested party in the success of the XRP ecosystem.’",2019-09-13
"Major Coins Report Mixed Signals, ETC Sees Modest Gains Following Hard Fork","Cryptocurrency markets are reporting mixed signals today as Bitcoin says steady above $10,000.",2019-09-13
"Price Analysis 11/09: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, ADA",Bitcoin is gradually drifting down. Is this a buying opportunity or will it fall further? Let’s analyze the charts.,2019-09-12
"Price Analysis 09/09: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, ADA",The action might shift to altcoins for the next few days. Which altcoins offer a trading opportunity? Let’s analyze the charts.,2019-09-10
"Apple Hint, XRP Dump, Mystery $1 Billion Transfer: Hodler’s Digest, Sept. 2–8","Ripple users are left infuriated after the company’s latest XRP dump, Craig Wright challenges 500,000 BTC payout, and Apple says it is watching crypto closely.",2019-09-09
"Coinbase, Ripple Leave Top 10 of LinkedIn's ‘Hottest’ Startups List",Cryptocurrency exchange Coinbase and blockchain startup Ripple leave the top 10 of LinkedIn’s “50 most sought-after startups in the U.S.” list of 2019.,2019-09-07
"Price Analysis 06/09: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Will Apple’s interest in cryptocurrencies drive the next leg of the up-move? Let’s analyze the charts.,2019-09-07
PNC Bank Using Ripple XCurrent — Is Interest in Blockchain Rising?,"Ripple rolls out crypto-based cross-border payments for PNC, one of biggest banks in the U.S.",2019-09-07
‘Unleash the Utility!’ — XRP Users Petition Ripple to Sell More Tokens,"XRP community members have matured from earnest petitioning strategies to sarcastic ones, with a new petition entitled “Ripple Must Increase the ‘Dumping’ of XRP.”",2019-09-05
"Price Analysis 04/09: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Most major cryptocurrencies are facing selling at higher levels. Is the current dip a buying opportunity or will the price break below recent lows? Let’s analyze the charts.,2019-09-05
Ripple Hires Congressional Assistant as Government Relations Manager,Former legislative lead for the Token Taxonomy Act is the new manager of government relations for Ripple.,2019-09-04
Bitcoin Price Continues to Eye $11K as Most Altcoins See Minor Gains,"Market update: Bitcoin continues to eye $11K, while most altcoins are seeing minor gains.",2019-09-04
Ripple Transfers 500 Million XRP From Its Escrow Wallet,"Fintech startup Ripple has transferred 500 million XRP tokens, valued at almost $130 million, from its escrow wallet",2019-09-04
"Price Analysis 02/09: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XLM, XMR",Bitcoin is attempting a bounce. Will it sustain and resume the uptrend? Let’s analyze the charts.,2019-09-03
"Price Analysis 31/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XLM, ADA","Bitcoin is at a strong support level. If it fails to bounce quickly, it is likely to turn negative. Let’s analyze the charts.",2019-08-31
"Bitcoin Price Stable, Altcoins Send Mixed Signals After Fresh Gains","After seeing growth earlier today, crypto markets are trading sideways, with top-20 coins by market cap sending mixed signals and Bitcoin price stable.",2019-08-31
SBI Holdings’ Subsidiary to Pay Shareholders Dividends in XRP,"MorningStar Japan, a subsidiary of financial giant SBI Holdings, announces that it will offer its shareholders dividends in XRP.",2019-08-30
US Banking Giant PNC Starts Using RippleNet for Cross-Border Payments,PNC bank has become the first United States bank to start using the RippleNet blockchain network for cross-border payments.,2019-08-29
"Price Analysis 28/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XLM, XMR",Bitcoin is getting ready for a large move. At what level does it become a buy? Let’s analyze the charts.,2019-08-29
XRP Community Is Threatening a ‘Takeover’ if Ripple Execs Keep Dumping,Anger about the negative market consequences of Ripple selling XRP to its clients is prompting token holders to take action.,2019-08-28
"Price Analysis 26/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Bitcoin is in a no-man’s land. At what levels will it indicate a resumption of the uptrend? Let’s analyze the charts.,2019-08-27
"Crypto Industry Direly Needs Specialized Education, Says Ripple Exec",Cryptocurrency firm Ripple’s head of social impact Ken Weber thinks that universities need to offer courses that relate to actual roles in the blockchain industry.,2019-08-25
"Bitcoin Price Breaks $10,100 as Top Altcoins See Green","Bitcoin price circles around the $10,100 mark while most of the top 20 cryptocurrencies see moderate gains on the day.",2019-08-25
Bitcoin Price Fights to Hold $10K Support While Altcoins See Drops,"Crypto markets continued to see red on Saturday, with Bitcoin’s price hovering around the $10,000 threshold.",2019-08-25
"Bitcoin Hovers Around $10,130 as Altcoins Suffer Minor Losses","Most of the top 20 cryptocurrencies are suffering moderate losses on the day while Bitcoin hovers around the $10,130 mark.",2019-08-24
"Price Analysis 23/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Which altcoins are turning up and setting up a short-term trading opportunity? Let’s analyze the charts.,2019-08-24
Xendpay Joins RippleNet to Expand Global Money Transfer Services,International money transfer firm Xendpay has joined RippleNet to take advantage of its network for sending all types of currency around the world.,2019-08-23
"Binance to Launch US Platform Soon, Helped by a Little-Known Partner",Binance is seeking to navigate U.S. crypto regulations in partnership with little-known firm BAM Trading Services...,2019-08-22
"Price Analysis 21/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",The recovery in Bitcoin is faltering at higher levels. Does it look ready for a deeper correction? Let’s analyze the charts.,2019-08-22
"Price Analysis 19/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Bitcoin is leading a recovery. Is this a bull trap or will it result in a new uptrend? Let’s analyze the charts.,2019-08-20
"Bitcoin Fights to Hold at $10,150 as US Stock Market Sees Minor Uptrend","Most of the top 20 cryptocurrencies are suffering moderate losses on the day as Bitcoin struggles to stay over the $10,150 mark again.",2019-08-18
"A Different Look at Crypto Market and Top Assets, How Dominated Is It?",The 25 largest crypto markets comprise roughly 94.40% of the capitalization of the combined market cap.,2019-08-18
"Price Analysis 17/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM","Is the fall in Bitcoin over and should investors buy now, or will it plunge below $9,000? Let’s analyze the charts.",2019-08-17
Crypto Market Sends Mixed Signals as Ether and Bitcoin Price See Green,The crypto market is seeing mixed movement but Ether price and Bitcoin price are among those in the green.,2019-08-17
Crypto Mining Company CoinMine Secures $2.5 Million in Seed Round,"Cryptocurrency mining company CoinMine has completed a $2.5 million round of seed funding, earmarked for developing the all-in-one mining machine, Coinmine One.",2019-08-16
Ripple’s Xpring Gives $265 Million in XRP to Content Platform Coil,Content monetization platform Coil receives 1 billion XRP grant from Ripple’s Xpring initiative.,2019-08-16
"XRP Could Fall 20%, Says Trader Accusing Ripple of Manipulating Market","Peter Brandt joins critics of the third-largest altcoin, which currently trades at two-year lows against Bitcoin.",2019-08-15
"Price Analysis 14/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Bitcoin has broken down of a tight range. Will it weaken sentiment and drag a few  major altcoins to new yearly lows? Let’s analyze the charts.,2019-08-15
"SEC Is Bringing ‘Thor’s Hammer’ Against Ripple, Warns Tone Vays",The veteran trader openly calls XRP a scam as Ripple lawsuit edges closer to unregistered securities verdict.,2019-08-14
Disgruntled Investor Appeals to US SEC Guidelines in Class Action Suit Against Ripple,"After about a year without traction, a class action suit against Ripple has opted to cite SEC guidelines in arguing that XRP is a security.",2019-08-14
XRP Price Crashes by 40% on Beaxy Exchange After Coordinated Sell-Off,The platform has suspended all activity while it pursues action against those involved.,2019-08-13
"Price Analysis 12/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM","Altcoins are attempting a recovery, but will it last? Let’s analyze the charts.",2019-08-13
South Korean Holding Company Uses Ripple Fork to Develop Donations Platform,"South Korean holding company SK C&C has developed a platform for charitable donations, using a fork off of Ripple’s blockchain.",2019-08-10
"Price Analysis 09/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Bitcoin is at a critical level. A breakdown might hurt sentiment across the crypto universe.,2019-08-10
Ripple CEO: MoneyGram Using XRP a Bigger Deal Than Facebook’s Libra,Ripple CEO Brad Garlinghouse says the firm is looking into multiple investments and acquisitions following its $30 million partnership with MoneyGram.,2019-08-09
"Bitcoin Stuck Hovering Around $11,700, Major Altcoins See Red","The crypto market is mostly in the red, although losses appear to be relatively minimal.",2019-08-09
"FedNow — US Federal Reserve Payment Tool a Threat to Banks, Not Crypto",U.S. Federal Reserve wants to release a real-time payments and settlements service in order to boost the country’s infrastructure. Experts ask: Why not use crypto?,2019-08-09
"Price Analysis 07/08: BTC, ETH, XRP, BCH, LTC, BNB, EOS, BSV, XMR, XLM",Bitcoin is struggling to move up. What are the critical levels to watch out for? Let’s analyze the charts.,2019-08-08
"Bitcoin Breaks $12,000 Before Plunging, Crypto Markets Turn Downward","Most of the top 20 cryptocurrencies are reporting moderate losses on the day by press time, as Bitcoin briefly spiked above $12,000.",2019-08-08
"Major Coins Report Mixed Signals, Bitcoin Hovers Around $11,700","Cryptocurrency markets did not maintain their bullish trend from yesterday, with most major coins seeing red today.",2019-08-07
